Time_step, Time, Epot, Ekin, Etot
279, 2.790000, -0.110618, 0.338215, 0.227597
280, 2.800000, -0.110466, 0.338071, 0.227605
281, 2.810000, -0.110313, 0.337927, 0.227614
282, 2.820000, -0.110161, 0.337783, 0.227622
283, 2.830000, -0.110008, 0.337638, 0.227630
284, 2.840000, -0.109854, 0.337493, 0.227639
285, 2.850000, -0.109701, 0.337348, 0.227647
286, 2.860000, -0.109546, 0.337202, 0.227656
287, 2.870000, -0.109392, 0.337056, 0.227664
288, 2.880000, -0.109237, 0.336910, 0.227672
289, 2.890000, -0.109082, 0.336763, 0.227681
290, 2.900000, -0.108927, 0.336616, 0.227689
291, 2.910000, -0.108771, 0.336469, 0.227698
292, 2.920000, -0.108615, 0.336322, 0.227706
293, 2.930000, -0.108459, 0.336174, 0.227715
294, 2.940000, -0.108303, 0.336026, 0.227723
295, 2.950000, -0.108146, 0.335878, 0.227732
296, 2.960000, -0.107988, 0.335729, 0.227741
297, 2.970000, -0.107831, 0.335580, 0.227749
298, 2.980000, -0.107673, 0.335431, 0.227758
299, 2.990000, -0.107515, 0.335281, 0.227766
300, 3.000000, -0.107356, 0.335131, 0.227775
301, 3.010000, -0.107198, 0.334981, 0.227783
302, 3.020000, -0.107039, 0.334831, 0.227792
303, 3.030000, -0.106879, 0.334680, 0.227801
304, 3.040000, -0.106720, 0.334529, 0.227809
305, 3.050000, -0.106560, 0.334378, 0.227818
306, 3.060000, -0.106400, 0.334226, 0.227827
307, 3.070000, -0.106239, 0.334074, 0.227835
308, 3.080000, -0.106078, 0.333922, 0.227844
309, 3.090000, -0.105917, 0.333770, 0.227853
310, 3.100000, -0.105756, 0.333617, 0.227861
311, 3.110000, -0.105594, 0.333464, 0.227870
312, 3.120000, -0.105433, 0.333311, 0.227879
313, 3.130000, -0.105270, 0.333158, 0.227887
314, 3.140000, -0.105108, 0.333004, 0.227896
315, 3.150000, -0.104945, 0.332850, 0.227905
316, 3.160000, -0.104782, 0.332696, 0.227913
317, 3.170000, -0.104619, 0.332542, 0.227922
318, 3.180000, -0.104456, 0.332387, 0.227931
319, 3.190000, -0.104292, 0.332232, 0.227940
320, 3.200000, -0.104128, 0.332077, 0.227949
321, 3.210000, -0.103964, 0.331921, 0.227957
322, 3.220000, -0.103799, 0.331765, 0.227966
323, 3.230000, -0.103635, 0.331610, 0.227975
324, 3.240000, -0.103470, 0.331453, 0.227984
325, 3.250000, -0.103304, 0.331297, 0.227992
326, 3.260000, -0.103139, 0.331140, 0.228001
327, 3.270000, -0.102973, 0.330983, 0.228010
328, 3.280000, -0.102807, 0.330826, 0.228019
329, 3.290000, -0.102641, 0.330669, 0.228028
330, 3.300000, -0.102475, 0.330511, 0.228036
331, 3.310000, -0.102308, 0.330353, 0.228045
332, 3.320000, -0.102141, 0.330195, 0.228054
333, 3.330000, -0.101974, 0.330037, 0.228063
334, 3.340000, -0.101807, 0.329879, 0.228072
335, 3.350000, -0.101639, 0.329720, 0.228081
336, 3.360000, -0.101471, 0.329561, 0.228090
337, 3.370000, -0.101303, 0.329402, 0.228098
338, 3.380000, -0.101135, 0.329242, 0.228107
339, 3.390000, -0.100967, 0.329083, 0.228116
340, 3.400000, -0.100798, 0.328923, 0.228125
341, 3.410000, -0.100629, 0.328763, 0.228134
342, 3.420000, -0.100460, 0.328603, 0.228143
343, 3.430000, -0.100291, 0.328443, 0.228152
344, 3.440000, -0.100121, 0.328282, 0.228161
345, 3.450000, -0.099952, 0.328121, 0.228169
346, 3.460000, -0.099782, 0.327960, 0.228178
347, 3.470000, -0.099612, 0.327799, 0.228187
348, 3.480000, -0.099441, 0.327638, 0.228196
349, 3.490000, -0.099271, 0.327476, 0.228205
350, 3.500000, -0.099100, 0.327314, 0.228214
351, 3.510000, -0.098930, 0.327152, 0.228223
352, 3.520000, -0.098759, 0.326990, 0.228232
353, 3.530000, -0.098587, 0.326828, 0.228241
354, 3.540000, -0.098416, 0.326665, 0.228249
355, 3.550000, -0.098244, 0.326503, 0.228258
356, 3.560000, -0.098073, 0.326340, 0.228267
357, 3.570000, -0.097901, 0.326177, 0.228276
358, 3.580000, -0.097729, 0.326014, 0.228285
359, 3.590000, -0.097556, 0.325850, 0.228294
360, 3.600000, -0.097384, 0.325687, 0.228303
361, 3.610000, -0.097211, 0.325523, 0.228312
362, 3.620000, -0.097039, 0.325359, 0.228321
363, 3.630000, -0.096866, 0.325195, 0.228330
364, 3.640000, -0.096693, 0.325031, 0.228339
365, 3.650000, -0.096519, 0.324867, 0.228347
366, 3.660000, -0.096346, 0.324702, 0.228356
367, 3.670000, -0.096172, 0.324538, 0.228365
368, 3.680000, -0.095999, 0.324373, 0.228374
369, 3.690000, -0.095825, 0.324208, 0.228383
370, 3.700000, -0.095651, 0.324043, 0.228392
371, 3.710000, -0.095477, 0.323878, 0.228401
372, 3.720000, -0.095302, 0.323712, 0.228410
373, 3.730000, -0.095128, 0.323547, 0.228419
374, 3.740000, -0.094954, 0.323381, 0.228428
375, 3.750000, -0.094779, 0.323215, 0.228436
376, 3.760000, -0.094604, 0.323049, 0.228445
377, 3.770000, -0.094429, 0.322883, 0.228454
378, 3.780000, -0.094254, 0.322717, 0.228463
379, 3.790000, -0.094079, 0.322551, 0.228472
380, 3.800000, -0.093904, 0.322384, 0.228481
381, 3.810000, -0.093728, 0.322218, 0.228490
382, 3.820000, -0.093553, 0.322051, 0.228499
383, 3.830000, -0.093377, 0.321884, 0.228507
384, 3.840000, -0.093201, 0.321717, 0.228516
385, 3.850000, -0.093025, 0.321550, 0.228525
386, 3.860000, -0.092849, 0.321383, 0.228534
387, 3.870000, -0.092673, 0.321216, 0.228543
388, 3.880000, -0.092497, 0.321049, 0.228552
389, 3.890000, -0.092321, 0.320881, 0.228560
390, 3.900000, -0.092144, 0.320714, 0.228569
391, 3.910000, -0.091968, 0.320546, 0.228578
392, 3.920000, -0.091791, 0.320378, 0.228587
393, 3.930000, -0.091615, 0.320210, 0.228596
394, 3.940000, -0.091438, 0.320042, 0.228605
395, 3.950000, -0.091261, 0.319874, 0.228613
396, 3.960000, -0.091084, 0.319706, 0.228622
397, 3.970000, -0.090907, 0.319538, 0.228631
398, 3.980000, -0.090730, 0.319370, 0.228640
399, 3.990000, -0.090553, 0.319201, 0.228648
400, 4.000000, -0.090376, 0.319033, 0.228657
401, 4.010000, -0.090198, 0.318864, 0.228666
402, 4.020000, -0.090021, 0.318696, 0.228675
403, 4.030000, -0.089843, 0.318527, 0.228683
404, 4.040000, -0.089666, 0.318358, 0.228692
405, 4.050000, -0.089488, 0.318189, 0.228701
406, 4.060000, -0.089311, 0.318020, 0.228710
407, 4.070000, -0.089133, 0.317851, 0.228718
408, 4.080000, -0.088955, 0.317682, 0.228727
409, 4.090000, -0.088777, 0.317513, 0.228736
410, 4.100000, -0.088599, 0.317344, 0.228744
411, 4.110000, -0.088422, 0.317175, 0.228753
412, 4.120000, -0.088244, 0.317005, 0.228762
